Linux 2.6.32.43-tlinux-1.0.8-default (TENCENT64.site) 	12/18/2018 	_x86_64_	(24 CPU)

12:00:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
03:20:01        all      2.92      0.00      3.16      0.00      0.00     93.91
03:30:01        all      2.35      0.00      3.10      0.01      0.00     94.55
03:40:02        all      2.37      0.00      3.16      0.00      0.00     94.46
03:50:01        all      2.37      0.00      3.12      0.00      0.00     94.51
04:00:01        all      2.32      0.00      3.07      0.00      0.00     94.61
04:10:01        all      2.44      0.00      3.19      0.00      0.00     94.36
04:20:01        all      2.47      0.00      3.06      0.00      0.00     94.47
04:30:01        all      2.37      0.00      3.13      0.00      0.00     94.50
04:40:01        all      2.40      0.00      3.21      0.00      0.00     94.39
04:50:01        all      2.60      0.00      3.19      0.00      0.00     94.21
05:00:01        all      2.83      0.00      3.17      0.00      0.00     94.00
05:10:01        all      2.42      0.00      3.17      0.00      0.00     94.41
05:20:01        all      2.51      0.00      3.14      0.00      0.00     94.35
05:30:01        all      2.37      0.00      3.16      0.00      0.00     94.47
05:40:01        all      2.36      0.00      3.20      0.00      0.00     94.44
05:50:01        all      2.31      0.00      3.13      0.00      0.00     94.56
06:00:01        all      2.36      0.00      3.11      0.00      0.00     94.53
06:10:01        all      2.42      0.00      3.20      0.00      0.00     94.38
06:20:01        all      2.46      0.00      3.13      0.00      0.00     94.41
06:30:01        all      2.39      0.00      3.13      0.00      0.00     94.47
06:40:01        all      2.37      0.00      3.21      0.00      0.00     94.41
06:50:01        all      2.43      0.00      3.13      0.00      0.00     94.43
07:00:01        all      2.88      0.00      3.13      0.00      0.00     93.99
07:10:01        all      2.47      0.00      3.17      0.00      0.00     94.35
07:20:01        all      2.39      0.00      3.13      0.00      0.00     94.48
07:30:01        all      2.82      0.00      3.11      0.00      0.00     94.06
07:40:01        all      2.63      0.00      3.19      0.00      0.00     94.18
07:50:01        all      2.38      0.00      3.11      0.00      0.00     94.51
08:00:01        all      2.38      0.00      3.08      0.00      0.00     94.54
08:10:01        all      2.42      0.00      3.18      0.00      0.00     94.39
08:20:01        all      2.32      0.00      3.11      0.00      0.00     94.57
08:30:01        all      2.49      0.00      3.12      0.00      0.00     94.40
08:40:02        all      2.41      0.00      3.24      0.00      0.00     94.35
08:50:01        all      2.46      0.00      3.19      0.00      0.00     94.35
09:00:01        all      2.84      0.00      3.14      0.00      0.00     94.02
09:10:01        all      2.50      0.00      3.12      0.00      0.00     94.38
09:20:01        all      2.29      0.00      2.96      0.00      0.00     94.74
09:30:01        all      2.48      0.00      3.02      0.00      0.00     94.50
09:40:01        all      2.34      0.00      3.06      0.00      0.00     94.60
09:50:01        all      2.32      0.00      3.03      0.00      0.00     94.65
10:00:01        all      2.44      0.00      3.05      0.03      0.00     94.48
10:10:01        all      2.33      0.00      3.05      0.00      0.00     94.62
10:20:01        all      2.29      0.00      3.00      0.00      0.00     94.71
10:30:01        all      2.44      0.00      2.98      0.00      0.00     94.58
10:40:01        all      2.34      0.00      3.03      0.00      0.00     94.63
10:50:01        all      2.38      0.00      2.99      0.00      0.00     94.63
11:00:01        all      2.77      0.00      3.03      0.00      0.00     94.20
11:10:01        all      2.42      0.00      3.03      0.20      0.00     94.35
11:20:01        all      2.41      0.00      3.15      0.13      0.00     94.32
11:30:01        all      2.49      0.00      3.03      0.22      0.00     94.26
11:40:01        all      2.33      0.00      3.00      0.12      0.00     94.55
11:50:01        all      2.39      0.00      3.11      0.17      0.00     94.33
00:10:01        all      1.54      0.00      1.82      1.24      0.00     95.39
00:20:01        all      1.11      0.00      1.30      0.06      0.00     97.53
00:30:01        all      1.32      0.00      1.82      0.36      0.00     96.51
00:40:01        all      1.55      0.00      1.57      0.07      0.00     96.81
00:50:01        all      1.12      0.00      1.30      0.06      0.00     97.53
01:00:01        all      1.11      0.00      1.30      0.05      0.00     97.53
01:10:01        all      1.37      0.00      1.56      0.07      0.00     97.01
01:20:01        all      1.18      0.00      1.30      0.14      0.00     97.38
01:30:01        all      1.15      0.00      1.30      0.13      0.00     97.42
01:40:01        all      1.55      0.00      1.56      0.12      0.00     96.76
01:50:01        all      1.40      0.00      1.30      0.09      0.00     97.21
02:00:01        all      1.14      0.00      1.30      0.11      0.00     97.45
02:10:01        all      1.27      0.00      1.54      0.07      0.00     97.12
02:20:01        all      1.18      0.00      1.30      0.07      0.00     97.46
02:30:01        all      1.09      0.00      1.30      0.08      0.00     97.52
02:40:01        all      1.28      0.00      1.56      0.09      0.00     97.06
02:50:01        all      1.46      0.00      1.58      0.11      0.00     96.85
03:00:01        all      1.09      0.00      1.30      0.05      0.00     97.56
03:10:01        all      1.27      0.00      1.57      0.06      0.00     97.10
03:20:01        all      1.21      0.00      1.31      0.08      0.00     97.41
03:30:01        all      1.15      0.00      1.32      0.09      0.00     97.44
03:40:01        all      1.28      0.00      1.57      0.06      0.00     97.10
03:50:01        all      1.38      0.00      1.33      0.07      0.00     97.21
04:00:01        all      1.12      0.00      1.31      0.07      0.00     97.50
04:10:01        all      1.27      0.00      1.58      0.06      0.00     97.09
04:20:01        all      1.24      0.00      1.32      0.08      0.00     97.37
04:30:01        all      1.11      0.00      1.32      0.07      0.00     97.50
04:40:01        all      1.30      0.00      1.57      0.05      0.00     97.08
04:50:01        all      1.53      0.00      1.62      0.04      0.00     96.80
05:00:01        all      1.14      0.00      1.33      0.07      0.00     97.46
05:10:01        all      1.27      0.00      1.56      0.08      0.00     97.09
05:20:01        all      1.25      0.00      1.34      0.04      0.00     97.37
05:30:01        all      1.15      0.00      1.32      0.05      0.00     97.48
05:40:01        all      1.33      0.00      1.56      0.07      0.00     97.05
05:50:01        all      1.39      0.00      1.32      0.08      0.00     97.22
06:00:01        all      1.14      0.00      1.32      0.07      0.00     97.47
06:10:01        all      1.35      0.00      1.58      0.08      0.00     96.99
06:20:01        all      1.41      0.00      1.43      0.17      0.00     96.99
06:30:01        all      1.68      0.00      1.53      0.06      0.00     96.73
06:40:01        all      1.80      0.00      1.80      0.06      0.00     96.34
06:50:01        all      1.89      0.00      1.56      0.09      0.00     96.45
07:00:01        all      1.59      0.00      1.52      0.15      0.00     96.75
07:10:01        all      1.70      0.00      1.78      0.18      0.00     96.33
07:20:01        all      1.51      0.00      1.52      0.05      0.00     96.92
07:30:01        all      1.24      0.00      1.33      0.07      0.00     97.36
07:40:01        all      1.29      0.00      1.58      0.06      0.00     97.07
07:50:01        all      1.40      0.00      1.35      0.05      0.00     97.19
08:00:01        all      1.11      0.00      1.32      0.08      0.00     97.48
08:10:01        all      1.26      0.00      1.59      0.08      0.00     97.07
08:20:01        all      1.11      0.00      1.34      0.06      0.00     97.50
08:30:01        all      1.21      0.00      1.33      0.06      0.00     97.40
08:40:01        all      1.30      0.00      1.58      0.06      0.00     97.06
08:50:01        all      1.31      0.00      1.34      0.06      0.00     97.28
09:00:01        all      1.23      0.00      1.32      0.06      0.00     97.39
09:10:01        all      1.26      0.00      1.60      0.07      0.00     97.07
09:20:01        all      1.11      0.00      1.32      0.05      0.00     97.52
09:30:01        all      1.21      0.00      1.32      0.06      0.00     97.42
09:40:01        all      1.32      0.00      1.57      0.07      0.00     97.05
09:50:01        all      1.12      0.00      1.31      0.06      0.00     97.51
10:00:01        all      1.40      0.00      1.33      0.05      0.00     97.22
10:10:01        all      1.25      0.00      1.57      0.07      0.00     97.10
10:20:01        all      1.16      0.00      1.33      0.07      0.00     97.44
10:30:01        all      1.21      0.00      1.31      0.05      0.00     97.43
10:40:01        all      1.28      0.00      1.58      0.07      0.00     97.07
10:50:01        all      1.13      0.00      1.32      0.07      0.00     97.48
11:00:01        all      2.06      0.00      1.32      0.13      0.00     96.48
11:10:01        all      1.29      0.00      1.55      0.06      0.00     97.10
11:20:01        all      1.16      0.00      1.33      0.31      0.00     97.20
11:30:01        all      1.24      0.00      1.27      0.05      0.00     97.43
11:40:01        all      1.35      0.00      1.52      0.07      0.00     97.07
11:50:01        all      1.15      0.00      1.26      0.05      0.00     97.53
12:00:01        all      1.53      0.00      1.27      0.06      0.00     97.13
12:10:01        all      1.73      0.00      1.91      0.34      0.00     96.02
12:20:01        all      1.13      0.00      1.27      0.04      0.00     97.55
12:30:01        all      1.18      0.00      1.25      0.07      0.00     97.50
12:40:01        all      1.45      0.00      1.52      0.08      0.00     96.94
12:50:01        all      1.15      0.00      1.26      0.07      0.00     97.51
13:00:01        all      1.44      0.00      1.29      0.05      0.00     97.22
13:10:01        all      2.42      0.00      1.62      0.05      0.00     95.92
13:20:01        all      6.21      0.00      1.76      0.12      0.00     91.91
13:30:01        all      1.12      0.00      1.33      0.07      0.00     97.48
13:40:01        all      1.38      0.00      1.53      0.11      0.00     96.99
13:50:01        all      1.11      0.00      1.27      0.06      0.00     97.57
14:00:01        all      1.41      0.00      1.29      0.08      0.00     97.23
14:10:01        all      1.28      0.00      1.56      0.05      0.00     97.11
14:20:01        all      1.34      0.00      1.46      0.05      0.00     97.15
14:30:01        all      1.15      0.00      1.26      0.04      0.00     97.55
14:40:01        all      1.44      0.00      1.53      0.05      0.00     96.98
14:50:01        all      1.16      0.00      1.27      0.06      0.00     97.51
15:00:01        all      1.42      0.00      1.28      0.04      0.00     97.26
15:10:01        all      1.30      0.00      1.53      0.07      0.00     97.10
15:20:01        all      1.17      0.00      1.28      0.06      0.00     97.49
15:30:01        all      1.19      0.00      1.28      0.06      0.00     97.47
15:40:01        all      1.43      0.00      1.51      0.08      0.00     96.97
15:50:01        all      1.25      0.00      1.28      0.06      0.00     97.41
16:00:01        all      2.09      0.00      1.35      0.35      0.00     96.21
16:10:01        all      1.40      0.00      1.54      0.07      0.00     96.99
16:20:01        all      1.16      0.00      1.28      0.06      0.00     97.50
16:30:01        all      1.13      0.00      1.26      0.05      0.00     97.55
16:40:01        all      1.36      0.00      1.53      0.05      0.00     97.05
16:50:01        all      1.26      0.00      1.31      0.08      0.00     97.34
17:00:01        all      1.16      0.00      1.28      0.07      0.00     97.49
17:10:01        all      1.64      0.00      1.59      0.08      0.00     96.70
17:20:01        all      1.23      0.00      1.30      0.05      0.00     97.42
17:30:01        all      1.19      0.00      1.28      0.05      0.00     97.48
17:40:01        all      1.33      0.00      1.53      0.05      0.00     97.09
17:50:01        all      1.24      0.00      1.30      0.06      0.00     97.40
18:00:01        all      1.18      0.00      1.29      0.04      0.00     97.48
18:10:01        all      1.48      0.00      1.39      0.05      0.00     97.07
18:20:01        all      1.25      0.00      1.45      0.09      0.00     97.21
18:30:01        all      1.17      0.00      1.31      0.07      0.00     97.45
18:40:01        all      1.20      0.00      1.29      0.04      0.00     97.47
18:50:01        all      1.40      0.00      1.54      0.07      0.00     96.98
19:00:01        all      1.19      0.00      1.27      0.05      0.00     97.49
19:10:01        all      1.46      0.00      1.33      0.06      0.00     97.14
19:20:01        all      1.29      0.00      1.53      0.06      0.00     97.12
19:30:01        all      1.25      0.00      1.28      0.08      0.00     97.39
19:40:01        all      1.20      0.00      1.30      0.10      0.00     97.40
19:50:01        all      1.49      0.00      1.58      0.10      0.00     96.83
20:00:01        all      1.15      0.00      1.29      0.07      0.00     97.49
20:10:01        all      1.44      0.00      1.29      0.05      0.00     97.22
20:20:01        all      1.28      0.00      1.52      0.05      0.00     97.15
20:30:01        all      1.20      0.00      1.27      0.06      0.00     97.47
20:40:01        all      1.20      0.00      1.30      0.06      0.00     97.44
20:50:01        all      1.41      0.00      1.57      0.05      0.00     96.96
21:00:01        all      1.17      0.00      1.30      0.06      0.00     97.47
21:10:01        all      1.68      0.00      1.41      0.62      0.00     96.29
21:20:01        all      1.34      0.00      1.53      0.06      0.00     97.07
21:30:01        all      1.19      0.00      1.30      0.08      0.00     97.43
21:40:01        all      1.20      0.00      1.29      0.09      0.00     97.42
21:50:01        all      1.29      0.00      1.57      0.04      0.00     97.09
22:00:01        all      1.38      0.00      1.31      0.09      0.00     97.22
22:10:01        all      1.43      0.00      1.31      0.08      0.00     97.19
22:20:01        all      1.31      0.00      1.53      0.08      0.00     97.09
22:30:01        all      1.16      0.00      1.28      0.06      0.00     97.50
22:40:01        all      1.20      0.00      1.28      0.11      0.00     97.41
22:50:01        all      1.31      0.00      1.52      0.09      0.00     97.09
23:00:01        all      1.28      0.00      1.28      0.06      0.00     97.38
23:10:01        all      1.30      0.00      1.29      0.06      0.00     97.34
23:20:01        all      1.46      0.00      1.54      0.07      0.00     96.93
23:30:01        all      1.16      0.00      1.28      0.07      0.00     97.49
23:40:01        all      1.21      0.00      1.28      0.07      0.00     97.44
23:50:01        all      1.30      0.00      1.51      0.02      0.00     97.17
00:10:01        all      1.54      0.00      1.82      1.24      0.00     95.39
00:20:01        all      1.11      0.00      1.30      0.06      0.00     97.53
00:30:01        all      1.32      0.00      1.82      0.36      0.00     96.51
00:40:01        all      1.55      0.00      1.57      0.07      0.00     96.81
00:50:01        all      1.12      0.00      1.30      0.06      0.00     97.53
01:00:01        all      1.11      0.00      1.30      0.05      0.00     97.53
01:10:01        all      1.37      0.00      1.56      0.07      0.00     97.01
01:20:01        all      1.18      0.00      1.30      0.14      0.00     97.38
01:30:01        all      1.15      0.00      1.30      0.13      0.00     97.42
01:40:01        all      1.55      0.00      1.56      0.12      0.00     96.76
01:50:01        all      1.40      0.00      1.30      0.09      0.00     97.21
02:00:01        all      1.14      0.00      1.30      0.11      0.00     97.45
02:10:01        all      1.27      0.00      1.54      0.07      0.00     97.12
02:20:01        all      1.18      0.00      1.30      0.07      0.00     97.46
02:30:01        all      1.09      0.00      1.30      0.08      0.00     97.52
02:40:01        all      1.28      0.00      1.56      0.09      0.00     97.06
02:50:01        all      1.46      0.00      1.58      0.11      0.00     96.85
03:00:01        all      1.09      0.00      1.30      0.05      0.00     97.56
03:10:01        all      1.27      0.00      1.57      0.06      0.00     97.10
03:20:01        all      1.21      0.00      1.31      0.08      0.00     97.41
03:30:01        all      1.15      0.00      1.32      0.09      0.00     97.44
03:40:01        all      1.28      0.00      1.57      0.06      0.00     97.10
03:50:01        all      1.38      0.00      1.33      0.07      0.00     97.21
04:00:01        all      1.12      0.00      1.31      0.07      0.00     97.50
04:10:01        all      1.27      0.00      1.58      0.06      0.00     97.09
04:20:01        all      1.24      0.00      1.32      0.08      0.00     97.37
04:30:01        all      1.11      0.00      1.32      0.07      0.00     97.50
04:40:01        all      1.30      0.00      1.57      0.05      0.00     97.08
04:50:01        all      1.53      0.00      1.62      0.04      0.00     96.80
05:00:01        all      1.14      0.00      1.33      0.07      0.00     97.46
05:10:01        all      1.27      0.00      1.56      0.08      0.00     97.09
05:20:01        all      1.25      0.00      1.34      0.04      0.00     97.37
05:30:01        all      1.15      0.00      1.32      0.05      0.00     97.48
05:40:01        all      1.33      0.00      1.56      0.07      0.00     97.05
05:50:01        all      1.39      0.00      1.32      0.08      0.00     97.22
06:00:01        all      1.14      0.00      1.32      0.07      0.00     97.47
06:10:01        all      1.35      0.00      1.58      0.08      0.00     96.99
06:20:01        all      1.41      0.00      1.43      0.17      0.00     96.99
06:30:01        all      1.68      0.00      1.53      0.06      0.00     96.73
06:40:01        all      1.80      0.00      1.80      0.06      0.00     96.34
06:50:01        all      1.89      0.00      1.56      0.09      0.00     96.45
07:00:01        all      1.59      0.00      1.52      0.15      0.00     96.75
07:10:01        all      1.70      0.00      1.78      0.18      0.00     96.33
07:20:01        all      1.51      0.00      1.52      0.05      0.00     96.92
07:30:01        all      1.24      0.00      1.33      0.07      0.00     97.36
07:40:01        all      1.29      0.00      1.58      0.06      0.00     97.07
07:50:01        all      1.40      0.00      1.35      0.05      0.00     97.19
08:00:01        all      1.11      0.00      1.32      0.08      0.00     97.48
08:10:01        all      1.26      0.00      1.59      0.08      0.00     97.07
08:20:01        all      1.11      0.00      1.34      0.06      0.00     97.50
08:30:01        all      1.21      0.00      1.33      0.06      0.00     97.40
08:40:01        all      1.30      0.00      1.58      0.06      0.00     97.06
08:50:01        all      1.31      0.00      1.34      0.06      0.00     97.28
09:00:01        all      1.23      0.00      1.32      0.06      0.00     97.39
09:10:01        all      1.26      0.00      1.60      0.07      0.00     97.07
09:20:01        all      1.11      0.00      1.32      0.05      0.00     97.52
09:30:01        all      1.21      0.00      1.32      0.06      0.00     97.42
09:40:01        all      1.32      0.00      1.57      0.07      0.00     97.05
09:50:01        all      1.12      0.00      1.31      0.06      0.00     97.51
10:00:01        all      1.40      0.00      1.33      0.05      0.00     97.22
10:10:01        all      1.25      0.00      1.57      0.07      0.00     97.10
10:20:01        all      1.16      0.00      1.33      0.07      0.00     97.44
10:30:01        all      1.21      0.00      1.31      0.05      0.00     97.43
10:40:01        all      1.28      0.00      1.58      0.07      0.00     97.07
10:50:01        all      1.13      0.00      1.32      0.07      0.00     97.48
11:00:01        all      2.06      0.00      1.32      0.13      0.00     96.48
11:10:01        all      1.29      0.00      1.55      0.06      0.00     97.10
11:20:01        all      1.16      0.00      1.33      0.31      0.00     97.20
11:30:01        all      1.24      0.00      1.27      0.05      0.00     97.43
11:40:01        all      1.35      0.00      1.52      0.07      0.00     97.07
11:50:01        all      1.15      0.00      1.26      0.05      0.00     97.53
12:00:01        all      1.53      0.00      1.27      0.06      0.00     97.13
12:10:01        all      1.73      0.00      1.91      0.34      0.00     96.02
12:20:01        all      1.13      0.00      1.27      0.04      0.00     97.55
12:30:01        all      1.18      0.00      1.25      0.07      0.00     97.50
12:40:01        all      1.45      0.00      1.52      0.08      0.00     96.94
12:50:01        all      1.15      0.00      1.26      0.07      0.00     97.51
13:00:01        all      1.44      0.00      1.29      0.05      0.00     97.22
13:10:01        all      2.42      0.00      1.62      0.05      0.00     95.92
13:20:01        all      6.21      0.00      1.76      0.12      0.00     91.91
13:30:01        all      1.12      0.00      1.33      0.07      0.00     97.48
13:40:01        all      1.38      0.00      1.53      0.11      0.00     96.99
13:50:01        all      1.11      0.00      1.27      0.06      0.00     97.57
14:00:01        all      1.41      0.00      1.29      0.08      0.00     97.23
14:10:01        all      1.28      0.00      1.56      0.05      0.00     97.11
14:20:01        all      1.34      0.00      1.46      0.05      0.00     97.15
14:30:01        all      1.15      0.00      1.26      0.04      0.00     97.55
14:40:01        all      1.44      0.00      1.53      0.05      0.00     96.98
14:50:01        all      1.16      0.00      1.27      0.06      0.00     97.51
15:00:01        all      1.42      0.00      1.28      0.04      0.00     97.26
15:10:01        all      1.30      0.00      1.53      0.07      0.00     97.10
15:20:01        all      1.17      0.00      1.28      0.06      0.00     97.49
15:30:01        all      1.19      0.00      1.28      0.06      0.00     97.47
15:40:01        all      1.43      0.00      1.51      0.08      0.00     96.97
15:50:01        all      1.25      0.00      1.28      0.06      0.00     97.41
16:00:01        all      2.09      0.00      1.35      0.35      0.00     96.21
16:10:01        all      1.40      0.00      1.54      0.07      0.00     96.99
16:20:01        all      1.16      0.00      1.28      0.06      0.00     97.50
16:30:01        all      1.13      0.00      1.26      0.05      0.00     97.55
16:40:01        all      1.36      0.00      1.53      0.05      0.00     97.05
16:50:01        all      1.26      0.00      1.31      0.08      0.00     97.34
17:00:01        all      1.16      0.00      1.28      0.07      0.00     97.49
17:10:01        all      1.64      0.00      1.59      0.08      0.00     96.70
17:20:01        all      1.23      0.00      1.30      0.05      0.00     97.42
17:30:01        all      1.19      0.00      1.28      0.05      0.00     97.48
17:40:01        all      1.33      0.00      1.53      0.05      0.00     97.09
17:50:01        all      1.24      0.00      1.30      0.06      0.00     97.40
18:00:01        all      1.18      0.00      1.29      0.04      0.00     97.48
18:10:01        all      1.48      0.00      1.39      0.05      0.00     97.07
18:20:01        all      1.25      0.00      1.45      0.09      0.00     97.21
18:30:01        all      1.17      0.00      1.31      0.07      0.00     97.45
18:40:01        all      1.20      0.00      1.29      0.04      0.00     97.47
18:50:01        all      1.40      0.00      1.54      0.07      0.00     96.98
19:00:01        all      1.19      0.00      1.27      0.05      0.00     97.49
19:10:01        all      1.46      0.00      1.33      0.06      0.00     97.14
19:20:01        all      1.29      0.00      1.53      0.06      0.00     97.12
19:30:01        all      1.25      0.00      1.28      0.08      0.00     97.39
19:40:01        all      1.20      0.00      1.30      0.10      0.00     97.40
19:50:01        all      1.49      0.00      1.58      0.10      0.00     96.83
20:00:01        all      1.15      0.00      1.29      0.07      0.00     97.49
20:10:01        all      1.44      0.00      1.29      0.05      0.00     97.22
20:20:01        all      1.28      0.00      1.52      0.05      0.00     97.15
20:30:01        all      1.20      0.00      1.27      0.06      0.00     97.47
20:40:01        all      1.20      0.00      1.30      0.06      0.00     97.44
20:50:01        all      1.41      0.00      1.57      0.05      0.00     96.96
21:00:01        all      1.17      0.00      1.30      0.06      0.00     97.47
21:10:01        all      1.68      0.00      1.41      0.62      0.00     96.29
21:20:01        all      1.34      0.00      1.53      0.06      0.00     97.07
21:30:01        all      1.19      0.00      1.30      0.08      0.00     97.43
21:40:01        all      1.20      0.00      1.29      0.09      0.00     97.42
21:50:01        all      1.29      0.00      1.57      0.04      0.00     97.09
22:00:01        all      1.38      0.00      1.31      0.09      0.00     97.22
22:10:01        all      1.43      0.00      1.31      0.08      0.00     97.19
22:20:01        all      1.31      0.00      1.53      0.08      0.00     97.09
22:30:01        all      1.16      0.00      1.28      0.06      0.00     97.50
22:40:01        all      1.20      0.00      1.28      0.11      0.00     97.41
22:50:01        all      1.31      0.00      1.52      0.09      0.00     97.09
23:00:01        all      1.28      0.00      1.28      0.06      0.00     97.38
23:10:01        all      1.30      0.00      1.29      0.06      0.00     97.34
23:20:01        all      1.46      0.00      1.54      0.07      0.00     96.93
23:30:01        all      1.16      0.00      1.28      0.07      0.00     97.49
23:40:01        all      1.21      0.00      1.28      0.07      0.00     97.44
23:50:01        all      1.30      0.00      1.51      0.02      0.00     97.17
Average:        all      2.44      0.00      3.06      0.01      0.00     94.49
